CookedName,RawName,UsedFor
ProgramName,ProgramName,~General~all~
Project,Project,~task~all~
Protected,Protected,~General~all~
Publisher,Publisher,~General~all~
Rating,Rating,~tv~all~
ReadStatus,ReadStatus,~General~all~
RecordingTime,RecordingTime,~General~all~
ReminderTime,ReminderTime,~task~all~
RequiredAttendeeAddresses,RequiredAttendeeAddresses,~task~all~
RequiredAttendees,RequiredAttendees,~task~all~
Rerun,Rerun,~all~
Resources,Resources,~all~
SAP,SAP,~all~
Saturation,Saturation,~jpg~all~
SearchRanking,SearchRanking,~all~
SeasonNumber,SeasonNumber,~tv~all~
SenderAddress,SenderAddress,~Email~all~
SenderName,SenderName,~Email~all~
Sensitivity,Sensitivity,~Email~all~
Shared,Shared,~General~all~
SharedWith,SharedWith,~General~all~
Sharing,Sharing,~General~all~
SharingStatus,SharingStatus,~General~all~
SharingType,SharingType,~General~all~
Size,Size,~mp3~General~all~
Slides,Slides,~all~
Snippets,Snippets,~all~
SortAlbum,SortAlbum,~jpg~all~
SortAlbumArtist,SortAlbumArtist,~jpg~all~
SortComposer,SortComposer,~jpg~all~
SortContributingArtists,SortContributingArtists,~jpg~all~
SortTitle,SortTitle,~jpg~all~
Source,Source,~General~all~
SpaceFree,SpaceFree,~General~all~
SpaceUsed,SpaceUsed,~General~all~
SpouseOrPartner,"Spouse/Partner",~Contact~all~
StartDate,StartDate,~task~all~
StationCallSign,StationCallSign,~tv~all~
StationName,StationName,~tv~all~
Status,Status,~General~all~
Store,Store,~General~all~
Street,Street,~Contact~all~
Subject,Subject,~Email~all~
SubjectDistance,SubjectDistance,~all~
Subtitle,Subtitle,~tv~all~
Suffix,Suffix,~General~all~
Summary,Summary,~General~all~
SupportLink,SupportLink,~Contact~all~
Surname,Surname,~Contact~all~
Tags,Tags,~mp3~General~all~
TaskOwner,TaskOwner,~task~all~
TaskStatus,TaskStatus,~task~all~
Telex,Telex,~Contact~all~
Title,Title,~Contact~all~mp3~
To,To,~Email~all~
ToAddresses,ToAddresses,~Email~all~
TodoTitle,TodoTitle,~task~all~
TotalBitRate,TotalBitRate,~mp3~all~
TotalEditingTime,TotalEditingTime,~all~
TotalFileSize,TotalFileSize,~General~all~
TotalSize,TotalSize,~General~all~
TTYOrTTDphone,"TTY/TTDphone",~Contact~all~
Type,Type,~General~all~
URL,URL,~General~all~
UserWebURL,UserWebURL,~General~all~
VerticalResolution,VerticalResolution,~jpg~all~
Videocompression,Videocompression,~tv~all~
VideoOrientation,VideoOrientation,~tv~all~
WebPage,WebPage,~General~all~
WhiteBalance,WhiteBalance,~jpg~all~
Width,Width,~General~all~
WordCount,WordCount,~General~all~
Writers,Writers,~General~all~
Year,Year,~mp3~all~all~
